code,product_name,nutri-score-cat,sugars_cat,fat_cat
41270461603,ice cream,D,Très sucré,Très gras
41270461627,ice cream,D,Très sucré,Très gras
41270461634,ice cream,C,Très sucré,peu gras
41270461702,ice cream,D,Très sucré,Très gras
41290112431,ice cream color cups,C,Sans sucré,Sans gras
41303062739,reduced fat ice cream,C,Très sucré,peu gras
41303062753,reduced fat ice cream,C,Très sucré,peu gras
41303062777,"reduced fat ice cream, chocolate",D,Très sucré,peu gras
41303062791,reduced fat ice cream,D,Très sucré,peu gras
41303062814,reduced fat ice cream,D,Très sucré,peu gras
41303062821,ice cream,C,Très sucré,peu gras
41303062838,reduced fat ice cream,D,Très sucré,peu gras
41303062845,reduced fat ice cream,C,Très sucré,peu gras
41303062852,reduced fat ice cream,D,Très sucré,peu gras
41303062869,reduced fat ice cream,C,Très sucré,peu gras
41303062876,"reduced fat ice cream, chocolate & vanilla",D,Très sucré,peu gras
41303062890,reduced fat ice cream,C,Très sucré,peu gras
41318440096,ice cream,D,Très sucré,Très gras
41318440102,"ice cream, sea salt caramel",D,Très sucré,Très gras
41318450606,premium ice cream,D,Très sucré,Très gras
41383609855,"ice cream, berry chocolate crumble",D,Très sucré,Très gras
41415065437,ice cream,D,Très sucré,Très gras
41415250437,party time ice cream,D,Très sucré,Très gras
41415342439,organic ice cream,D,Très sucré,Très gras
41415343436,organic chocolate ice cream,D,Très sucré,Très gras
41415368439,limited edition ice cream,D,Très sucré,Très gras
41415369436,premium limited edition ice cream,D,Très sucré,Très gras
41415371439,"ice cream, peanut butter pie",D,Très sucré,Très gras
41415377431,organic ice cream,D,Très sucré,Très gras
41420214660,ice cream nougats,E,Très sucré,peu gras
41483002815,"ice cream sandwiches, vanilla",D,Très sucré,peu gras
41483003089,"ice cream sandwiches, vanilla",D,Très sucré,peu gras
41483016560,"winter snowmen ice cream, chocolate, strawberry, vanilla",C,Très sucré,peu gras
41483016577,"frosrty trees mint lowfat ice cream, mint",C,Très sucré,peu gras
41483020192,kempswich ice cream,E,Très sucré,Très gras
41483025753,"ice cream sundae cones, vanilla",D,Très sucré,Très gras
41483028136,"old fashioned ice cream, vanilla",D,Très sucré,Très gras
41483028143,"old fashioned ice cream, new york vanilla",D,Très sucré,Très gras
41483028174,"old fashioned ice cream, vanilla",D,Très sucré,Très gras
41483028181,"old fashioned ice cream, peppermint bon bon",D,Très sucré,Très gras
41483028204,"old fashioned ice cream, cookies & cream",D,Très sucré,Très gras
41483028228,ice cream,D,Très sucré,peu gras
41483028235,"old fashioned ice cream, butter pecan",D,Très sucré,Très gras
41483028273,"moose tracks, ice cream with peanut butter cups, vanilla",D,Très sucré,Très gras
41483028341,"ice cream, cherry fudge chunk",D,Très sucré,peu gras
41483029843,"cow tracks ice cream, caramel",D,Très sucré,Très gras
41483030962,"ice cream, moose tracks double fudge",D,Très sucré,Très gras
41483032072,chocolate chip cookie dough ice cream,D,Très sucré,Très gras
41483033567,"caribon coffee, ice cream, java chunk",D,Très sucré,Très gras
41483034236,"ice cream, mint chip",D,Très sucré,Très gras
41483034304,"ice cream, cookies 'n cream",D,Très sucré,Très gras
41483034359,"ice cream, banana split",D,Très sucré,Très gras
41483035110,"ice cream, chocolate chip cookie dough",D,Très sucré,Très gras
41483035714,"ice cream, chocolate",D,Très sucré,peu gras
41483036773,"mini ice cream sandwiches, vanilla",D,Très sucré,Très gras
41483037244,"real ice cream, turtle tracks",D,Très sucré,peu gras
41483037343,real ice cream,D,Très sucré,Très gras
41483037350,real ice cream,D,Très sucré,Très gras
41483037367,real ice cream,D,Très sucré,Très gras
41483037473,"ice cream, black jack cherry",D,Très sucré,peu gras
41483037688,"green bay packers ice cream, salted caramel frozen tundra twist",D,Très sucré,Très gras
41483037725,"ice cream, salted nut roll",D,Très sucré,peu gras
41483037855,ice cream sandwiches,D,Très sucré,peu gras
41483038098,"reduced fat ice cream, vanilla",C,Très sucré,peu gras
41483038104,reduced fat ice cream,D,Très sucré,peu gras
41483038142,"reduced fat ice cream, cookies n' cream",D,Très sucré,peu gras
41483038166,"reduced fat ice cream, mint chocolate chip",D,Très sucré,peu gras
41483038173,chocolate swirl ice cream,C,Très sucré,peu gras
41483038180,reduced fat ice cream,D,Très sucré,peu gras
41483038210,"ice cream, new york vanilla",C,Très sucré,peu gras
41483038227,"ice cream bars, vanilla",E,Très sucré,Très gras
41483038289,ice cream,C,Très sucré,peu gras
41483039989,king neapolitan sandwich ice cream,D,Très sucré,Très gras
41483040121,marshmallow brownie ice cream,D,Très sucré,Très gras
41483040152,ice cream,D,Très sucré,Très gras
41483040169,"cookie crunch ice cream, double caramel",D,Très sucré,Très gras
41483040305,"ice cream sandwiches, salted caramel",D,Très sucré,peu gras
41483040350,ice cream sandwiches,D,Très sucré,peu gras
41483040459,triple chocolate ice cream sandwiches,D,Très sucré,peu gras
41483040497,"ice cream, marshmallow spumoni twist",D,Très sucré,peu gras
41483040749,"ice cream sandwiches, chocolate chip cookie dough",D,Très sucré,peu gras
41483040763,reduced fat ice cream,D,Très sucré,Très gras
41483041005,ice cream,D,Très sucré,Très gras
41483041104,"ice cream sandwiches, rainbow candy",D,Très sucré,peu gras
41483041135,"ice cream sandwiches, strawberry",D,Très sucré,peu gras
41483041388,"lowfat ice cream float bars, root beer, orange, grape, vanilla",C,Très sucré,peu gras
41497004942,"ice cream cups, crispy, flavorful tasting cake cups",C,Sans sucré,Sans gras
41497010295,ice cream sandwiches,D,Très sucré,peu gras
41497010325,mini ice cream sandwich,D,Très sucré,peu gras
41497010424,"ice cream bars, vanilla, chocolate",D,Très sucré,Très gras
41497010431,ice cream bars,D,peu sucré,Très gras
41497010516,ice cream sandwiches,D,Très sucré,peu gras
41497010523,ice cream sandwiches,D,Très sucré,peu gras
41497010530,ice cream sandwiches,D,peu sucré,Très gras
41497011087,ice cream bars,C,Très sucré,peu gras
41497011193,premium ice cream bars,E,Très sucré,Très gras
41497011209,premium ice cream bars,E,Très sucré,Très gras
41497011216,premium ice cream bars,E,Très sucré,Très gras
41497011940,ice cream,D,Très sucré,Très gras
41497011957,devil's food cake premium ice cream,C,peu sucré,Sans gras
41497011964,premium ice cream,C,peu sucré,Sans gras
41497011988,premium ice cream,C,peu sucré,Sans gras
41497011995,premium ice cream,C,peu sucré,Sans gras
41497012008,premium ice cream,C,peu sucré,Sans gras
41497012039,premium ice cream,C,peu sucré,Sans gras
41497012138,premium ice cream,D,Très sucré,Très gras
41497012145,premium ice cream,D,Très sucré,peu gras
41497012152,premium ice cream,D,Très sucré,peu gras
41497012206,peanut butter premium ice cream,D,Très sucré,Très gras
41497012275,premium ice cream,D,Très sucré,Très gras
41497012305,premium ice cream,D,Très sucré,Très gras
41497012312,"artificially flavored teaberry, premium ice cream",D,Très sucré,Très gras
41497012367,premium ice cream,D,Très sucré,Très gras
41497012398,toffee flavored ice cream with caramel cups and luscious denali caramel,D,Très sucré,Très gras
41497012404,ice cream,D,Très sucré,Très gras
41497012428,chocolate premium ice cream,D,Très sucré,Très gras
41497012442,premium ice cream,D,Très sucré,peu gras
41497012466,premium ice cream,D,Très sucré,Très gras
41497012480,premium ice cream,C,peu sucré,Sans gras
41497012503,premium ice cream,D,Très sucré,Très gras
41497012527,premium ice cream,C,peu sucré,Sans gras
